axon-0average-points-error,axon-1average-points-error,axon-2average-points-error,axon-3average-points-error,axon-4average-points-error,axon-5average-points-error,axon-6average-points-error,axon-7average-points-error,axon-8average-points-error,axon-9average-points-error,axon-10average-points-error,axon-11average-points-error,axon-12average-points-error,axon-13average-points-error,axon-14average-points-error,axon-15average-points-error,axon-16average-points-error,axon-17average-points-error,axon-18average-points-error,axon-19average-points-error,axon-20average-points-error,axon-21average-points-error,axon-22average-points-error,axon-23average-points-error,axon-24average-points-error,axon-25average-points-error,axon-26average-points-error,axon-27average-points-error,axon-28average-points-error,axon-29average-points-error
1.93645400045,2.87742641379,1.35526503839,3.27755963731,3.06499319001,11.6153346575,2.26087162831,2.65538061297,3.14355341336,1.63126730364,2.45770980405,5.60109087253,8.89395511107,4.21375681914,10.7067422932,nan,5.37428207233,nan,2.2539803163,2.05076508483,4.09380315448,4.49504359075,2.59836483025,4.22574510272,2.82586782083,3.40037884513,3.35502054608,2.24243018428,1.75696981176,3.01259407087
1.89910758177,2.87782772454,1.44399249371,3.51268140056,3.04793719291,11.7770988852,2.3714705956,2.59347462495,3.17666574949,1.62321647656,2.63329119877,5.2422904159,8.81732122018,4.06608708683,10.9389633343,nan,4.99545807009,nan,2.2038209309,2.13751083202,3.704322484,4.95022634718,2.62731781969,4.2428300975,2.9871520417,3.43956613033,3.09751519188,2.24243018428,1.81171645792,2.98236347054
1.89845068437,2.26680809021,1.41915590319,3.54657591425,3.1904352926,11.8323851625,2.44067213323,2.5397291503,3.10087220081,1.68987334156,2.70404451532,5.20423041646,8.89011117653,3.81597268507,11.3417936618,nan,5.23970508471,nan,2.07691149684,2.21994131204,4.27526369028,4.63480727806,2.55676680582,4.08597451395,2.94637721229,3.6023061138,3.09605651383,2.17929839852,1.64889599452,2.98322058737
1.82255576192,2.13553477347,1.37774296941,3.65528756726,3.13449067768,11.8653937442,2.42431981242,2.48224877784,3.27328234731,1.67217094539,2.80025811546,5.19418221309,9.3858638687,3.88408621968,11.3417936618,nan,5.66776286469,nan,2.19829036041,2.24659660354,3.21257787164,4.29702037393,2.49141547506,3.88956113538,2.88470338398,3.71608103372,3.00982113022,2.04609631447,1.6177609415,2.90159959104
2.06137590049,1.96729271194,1.37178395575,3.53342373191,2.97331793175,nan,2.45883492276,2.32598768197,3.15493957102,2.00377741225,2.9398019128,4.98895675525,9.62932218854,4.3141188054,11.2207483375,nan,5.46638320925,nan,2.10401142508,2.16491865312,3.22395167934,5.03988770145,2.35922330711,3.62170076541,2.93454835555,3.90835066455,2.90623645761,2.29321653346,1.58768633411,2.88511457055
2.05068368778,1.87354859318,1.41364494467,3.55660118976,2.79086060945,12.628399037,2.43107400691,2.30521126751,3.2105882935,2.30653887898,2.77637351268,4.80452510614,9.65493846058,4.22214758454,11.231899386,nan,5.45840007327,nan,2.1338517122,2.15946521677,3.11778084195,5.30584057562,2.13601312414,3.86964184738,2.89684054703,4.00260607126,2.9085706263,2.29795421011,1.57936719341,2.89358164021
1.9977351889,1.76222045477,1.54888659493,3.46253620115,2.71396062611,nan,2.47187985029,2.24294656343,3.26239479955,2.16026700275,2.76776963482,4.82297280519,10.1184221342,4.67245892889,11.7107643726,nan,5.75221155823,nan,2.15731840823,2.1213845637,2.91276789377,4.65450688492,1.91890526582,3.81812681365,2.95521320792,3.92949776967,2.97623750002,2.35978847859,1.64801615585,2.87703800604
1.9646742101,1.56735102844,1.43330882728,3.32848055026,2.32742795341,nan,2.59241803895,2.214423658,3.15157907576,2.19081931046,2.87558987873,4.85695284516,10.1295175248,4.56418423921,11.7423974744,nan,5.5335454959,nan,2.24096259487,2.0330618374,2.70582405692,4.93489436816,2.00414000326,3.89868987583,2.84549766136,3.86452745618,3.01317962809,2.31180260669,1.67999390105,2.8274141676
2.17457494823,1.91377454443,1.4733999371,3.38633035195,2.27253155098,nan,2.60195943077,2.21438442301,3.02835616611,2.52971448308,2.99226506344,5.10232277333,10.3984547517,4.3516518099,11.1966231259,nan,5.47523231491,nan,2.22018233542,1.84618533313,2.15836526181,5.73138100777,2.26371294628,3.56447550359,2.83807230645,3.9656630461,3.03251950554,2.40002123716,1.7310729981,2.89433535701
2.20403409772,1.8626799423,1.49785681948,3.26825501336,2.3681286089,nan,2.57318400901,2.27575141245,3.18583492019,2.43018177364,3.06263583547,5.02208314,10.4937891733,4.00513006114,10.7763383224,nan,5.57376783084,nan,2.26080530739,1.849990726,2.23211189463,5.84464869976,2.60791744464,3.93789514166,2.91381959532,3.49582230944,3.05645588631,2.25609424831,1.73674265991,2.57668978163
2.20058098376,2.49606435548,1.34685749806,3.37745360111,2.39462765201,nan,2.7281576551,2.18882930079,3.20253500832,2.17012247445,3.0912542812,4.7593681039,10.2149822778,4.20287976762,10.6623423568,nan,5.26112310915,nan,2.22934721823,1.91657285617,2.29809312925,5.33366606187,2.72060161347,4.03872247313,2.88035804772,3.62193914118,3.07405039448,1.97537551856,1.82903018513,2.49636125656
2.1914470826,2.83869876574,1.42462638722,3.41246166576,2.49586625216,12.9146406211,2.62889731204,2.18692164127,3.25464103266,2.54170188981,3.27305946355,4.71105783756,9.8306206009,3.68729418316,10.5787801164,nan,5.30588948059,nan,2.12021965852,1.94105285379,2.19692985988,5.50748766692,2.86211745924,3.94201037192,2.87284022923,3.47299715048,3.00884957035,2.25433022641,1.76036681567,2.57109689447
2.14971749577,2.88389099679,1.43820153231,3.47489772739,2.62527616055,13.057177802,2.57782883836,2.20968973417,3.23935665478,2.51324934099,3.27957893703,4.31638217191,9.74945445766,3.50863681984,10.1110754241,nan,5.04896121701,nan,2.03386163265,1.97892511389,2.25932902943,5.56972149454,3.15285019221,3.67035451766,2.82005085121,3.40422109583,2.9063105501,2.34205235882,1.66169426255,2.49259832399
2.22063200357,2.89224535063,1.47674604765,3.62790705947,2.65241570708,13.2384199736,2.57167549286,2.22555901022,3.13255160647,2.58528307584,3.28199929011,3.91319977173,9.75483198125,3.54610948209,10.4390182522,nan,5.13091846929,nan,1.99836619765,2.02653975011,1.98054205453,4.84785641202,2.89412779177,3.83204912398,2.91586147402,3.34493950888,2.93932844881,2.25189405571,1.54316220912,2.36667982869
2.10975946261,2.51432459286,1.45932761526,3.53410960724,2.74986124669,12.9776155973,2.56816712479,2.10863650983,2.86076427545,2.39548806151,3.14540560756,3.76326512204,9.71952979297,3.55202948909,10.9557849587,nan,4.85919515927,nan,1.97091098853,2.02114382516,2.29042821479,4.69990746968,2.83451928605,4.12192700487,2.74104902388,3.09366849733,2.94459685809,2.21336312718,1.65412691461,2.32347660765
